Ti2CO2-TM,dGH,dM0-O0,dM1-O0,dM2-O0,dmM-O,ATi1-O-Ti2,ATi1-O-M,ATi2O-M,AmM-O-M,bO-O,epz,Med,Ti1ed,Ti2ed,Mmed,EFermi,CHO,CHM,CHTi1,CHTi2,CHMm,VM,VMm,BO,BM,BTi1,BTi2,BMm,FEIM,FEITi1,FEITi2,FEIMm,EAM,EAMm,PM,PMm,RM,RMm
Ru-S0,-0.48416922,2.173,1.922,1.922,2.005666667,100.95,94.757,94.757,96.82133333,3.072,-2.853848503,-2.0108,0.5562,0.5553,-0.299766667,-2.5364,7.030278,12.970114,10.044116,10.044308,11.01951267,14,12.66666667,1.030278,-1.029886,-1.955884,-1.955692,-1.647154,710.2,375.7,375.7,487.2,101.3,38.83333333,2.2,1.76,178,176.6666667
Ru-S1,-0.35237507,1.962,1.973,1.962,1.965666667,101.041,100.76,100.757,100.8526667,3.02,-2.826146124,0.5561,0.6662,0.5649,0.595733333,-2.5364,7.112827,10.037846,10.060226,10.044116,10.047396,12,12,1.112827,-1.962154,-1.939774,-1.955884,-1.952604,375.7,375.7,375.7,375.7,7.6,7.6,1.54,1.54,176,176
Ru-S2,-0.29065927,1.946,1.946,1.944,1.945333333,102.351,99.144,99.146,100.2136667,3.02,-2.845865256,0.5549,0.7331,0.5593,0.615766667,-2.5364,7.094494,10.044116,10.044119,10.072633,10.05362267,12,12,1.094494,-1.955884,-1.955881,-1.927367,-1.946377333,375.7,375.7,375.7,375.7,7.6,7.6,1.54,1.54,176,176
Sc-S0,-0.48717301,2.04,1.94,1.939,1.973,102.275,99.309,99.309,100.2976667,3.285,-2.456288182,0.7123,1.1368,1.1376,0.995566667,-2.8048,7.131891,9.160754,10.055843,10.054923,9.757173333,11,11.66666667,1.131891,-1.839246,-1.944157,-1.945077,-1.909493333,633.1,375.7,375.7,461.5,18.1,11.1,1.36,1.48,184,178.6666667
Sc-S1,-0.41797811,1.971,1.959,1.971,1.967,100.447,100.407,100.405,100.4196667,3.006,-2.406768428,1.1379,1.1134,1.1409,1.130733333,-2.8048,7.111837,10.060178,10.055915,10.055843,10.057312,12,12,1.111837,-1.939822,-1.944085,-1.944157,-1.942688,375.7,375.7,375.7,375.7,7.6,7.6,1.54,1.54,176,176
Sc-S2,-0.45723971,1.966,1.965,1.946,1.959,99.961,100.862,100.857,100.56,2.999,-2.389676355,1.1388,1.1218,1.1374,1.132666667,-2.8048,7.100019,10.055843,10.053568,10.049831,10.05308067,12,12,1.100019,-1.944157,-1.946432,-1.950169,-1.946919333,375.7,375.7,375.7,375.7,7.6,7.6,1.54,1.54,176,176
Ta-S0,0.17030543,2.013,2.009,2.009,2.010333333,98.662,98.343,98.345,98.45,3.049,-3.580278422,-1.0723,0.2081,0.2072,-0.219,-2.0139,7.132808,8.652556,10.06587,10.06721,9.595212,11,11.66666667,1.132808,-2.347444,-1.93413,-1.93279,-2.071454667,761,375.7,375.7,504.1333333,31,15.4,1.5,1.526666667,200,184
Ta-S1,0.04075588,1.975,1.962,1.975,1.970666667,100.605,99.208,99.21,99.67433333,3.012,-3.312144737,0.2077,0.2158,0.2075,0.210333333,-2.0139,7.110667,10.071061,10.052904,10.06587,10.06327833,12,12,1.110667,-1.928939,-1.947096,-1.93413,-1.936721667,375.7,375.7,375.7,375.7,7.6,7.6,1.54,1.54,176,176
Ta-S2,0.08450423,1.956,1.957,1.977,1.963333333,98.194,99.537,99.54,99.09033333,3.011,-3.359984616,0.2067,0.3077,0.2049,0.239766667,-2.0139,7.102693,10.06587,10.068925,10.070086,10.06829367,12,12,1.102693,-1.93413,-1.931075,-1.929914,-1.931706333,375.7,375.7,375.7,375.7,7.6,7.6,1.54,1.54,176,176
Ti-S0,0.10887018,1.965,1.966,1.966,1.965666667,100.012,100.02,100.015,100.0156667,3.012,-3.26250346,0.1413,0.141,0.1424,0.141566667,-2.1693,7.10724,10.058074,10.058039,10.058025,10.058046,12,12,1.10724,-1.941926,-1.941961,-1.941975,-1.941954,375.7,375.7,375.7,375.7,7.6,7.6,1.54,1.54,176,176
